ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
FM_1406_objective,Mission,,,,,true,true,FM_1406_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1407_objective,Mission,,,,,true,true,FM_1407_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1408_objective,Mission,,,,,true,true,FM_1408_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1409_objective,Mission,,,,,true,true,FM_1409_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1410_objective,Mission,,,,,true,true,FM_1410_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1401_objective,Mission,,,,,true,true,FM_S_1401_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1402_objective,Mission,,,,,true,true,FM_S_1402_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1403_objective,Mission,,,,,true,true,FM_S_1403_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1404_objective,Mission,,,,,true,true,FM_S_1404_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1405_objective,Mission,,,,,true,true,FM_S_1405_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1406_objective,Mission,,,,,true,true,FM_S_1406_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1407_objective,Mission,,,,,true,true,FM_S_1407_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1408_objective,Mission,,,,,true,true,FM_S_1408_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1409_objective,Mission,,,,,true,true,FM_S_1409_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1410_objective,Mission,,,,,true,true,FM_S_1410_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1401_objective,Mission,,,,,true,true,FM_C_1401_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1402_objective,Mission,,,,,true,true,FM_C_1402_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1403_objective,Mission,,,,,true,true,FM_C_1403_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1404_objective,Mission,,,,,true,true,FM_C_1404_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1405_objective,Mission,,,,,true,true,FM_C_1405_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1406_objective,Mission,,,,,true,true,FM_C_1406_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1407_objective,Mission,,,,,true,true,FM_C_1407_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1408_objective,Mission,,,,,true,true,FM_C_1408_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1409_objective,Mission,,,,,true,true,FM_C_1409_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1410_objective,Mission,,,,,true,true,FM_C_1410_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1461_objective,Mission,,,,,true,true,FM_1461_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1462_objective,Mission,,,,,true,true,FM_1462_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1463_objective,Mission,,,,,true,true,FM_1463_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1464_objective,Mission,,,,,true,true,FM_1464_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1465_objective,Mission,,,,,true,true,FM_1465_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1466_objective,Mission,,,,,true,true,FM_1466_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1467_objective,Mission,,,,,true,true,FM_1467_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1468_objective,Mission,,,,,true,true,FM_1468_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1469_objective,Mission,,,,,true,true,FM_1469_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_1470_objective,Mission,,,,,true,true,FM_1470_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1461_objective,Mission,,,,,true,true,FM_S_1461_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1462_objective,Mission,,,,,true,true,FM_S_1462_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1463_objective,Mission,,,,,true,true,FM_S_1463_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1464_objective,Mission,,,,,true,true,FM_S_1464_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1465_objective,Mission,,,,,true,true,FM_S_1465_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1466_objective,Mission,,,,,true,true,FM_S_1466_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1467_objective,Mission,,,,,true,true,FM_S_1467_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1468_objective,Mission,,,,,true,true,FM_S_1468_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1469_objective,Mission,,,,,true,true,FM_S_1469_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_1470_objective,Mission,,,,,true,true,FM_S_1470_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1461_objective,Mission,,,,,true,true,FM_C_1461_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1462_objective,Mission,,,,,true,true,FM_C_1462_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1463_objective,Mission,,,,,true,true,FM_C_1463_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1464_objective,Mission,,,,,true,true,FM_C_1464_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1465_objective,Mission,,,,,true,true,FM_C_1465_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1466_objective,Mission,,,,,true,true,FM_C_1466_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1467_objective,Mission,,,,,true,true,FM_C_1467_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1468_objective,Mission,,,,,true,true,FM_C_1468_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1469_objective,Mission,,,,,true,true,FM_C_1469_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_1470_objective,Mission,,,,,true,true,FM_C_1470_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_14_PVP_Spy_Marauder_objective,Mission,,,,true,true,false,FM_14_PVP_Spy_Marauder_container,,14,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,
FM_14_PVP_Poach_Marauder_objective,Mission,,,,true,true,false,FM_14_PVP_Poach_Marauder_container,,14,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,
FM_14_PVP_Control_Marauder_objective,Mission,,,,true,true,false,FM_14_PVP_Control_Marauder_container,,14,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,
FM_14_PVP_Spy_Syndicate_objective,Mission,,,,true,true,false,FM_14_PVP_Spy_Syndicate_container,,14,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,
FM_14_PVP_Poach_Syndicate_objective,Mission,,,,true,true,false,FM_14_PVP_Poach_Syndicate_container,,14,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,
FM_14_PVP_Control_Syndicate_objective,Mission,,,,true,true,false,FM_14_PVP_Control_Syndicate_container,,14,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,
FM_14_PVP_Spy_Covenant_objective,Mission,,,,true,true,false,FM_14_PVP_Spy_Covenant_container,,14,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,
FM_14_PVP_Poach_Covenant_objective,Mission,,,,true,true,false,FM_14_PVP_Poach_Covenant_container,,14,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,
FM_14_PVP_Control_Covenant_objective,Mission,,,,true,true,false,FM_14_PVP_Control_Covenant_container,,14,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,
FM_14_H_01_objective,Mission,,,,,true,true,FM_14_H_01_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_14_H_02_objective,Mission,,,,,true,true,FM_14_H_02_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_14_H_03_objective,Mission,,,,,true,true,FM_14_H_03_container,,14,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_14_EXP_01_objective,Mission,,,,,true,true,FM_14_EXP_01_container,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_14_EXP_02_objective,Mission,,,,,true,true,FM_14_EXP_02_container,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_14_EXP_03_objective,Mission,,,,,true,true,FM_14_EXP_03_container,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
