Spear_Throw+Resist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,HolyShield_Proj,SpearResist,
Spear_Throw+Crit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,SpearDefaultThrowCrit,HolyShield_Proj,SpearDefaultThrowCrit,
Spear_AI,SpearDefault,SpearDefault,SpearFlesh,SpearFleshHead,SpearArmor,SpearArmorHead,SpearDamned,SpearDryad,SpearGhost,SpearTurkey,SpearSkeleton,SpearAncientGuardian,SpearGhostCharred,SpearGhostFrozen,SpearGhostShipwrecked,SpearGhostHanged,SpearGhostPlagued,SpearBearElemental,SpearBear,SpearRegurgitator,SpearSprigganForest,SpearCorruptedEntity,SwordBlightFiend,SpearFrostWolf,SpearEarthWolf,SpearLost,SpearWithered,SpearDynasty,SpearDunePhantom,AnubianGuardianBruteBody,SpearAENaga,AnubianLocustScarabBody,SpearSun,HolyShield_Proj,SpearRockNPC,
Spear_AI+Resist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,SpearResist,HolyShield_Proj,SpearResist,
Spear_AI+Crit,SpearDefaultCrit,SpearDefaultCrit,SpearFleshCrit,SpearFleshCrit,SpearDefaultCrit,SpearDefaultCrit,SpearDamnedCrit,SpearDryadCrit,SpearGhostCrit,SpearTurkeyCrit,SpearSkeletonCrit,SpearAncientGuardianCrit,SpearGhostCharredCrit,SpearGhostFrozenCrit,SpearGhostShipwreckedCrit,SpearGhostHangedCrit,SpearGhostPlaguedCrit,SpearBearElementalCrit,SpearBearCrit,SpearRegurgitatorCrit,SpearSprigganForestCrit,SpearCorruptedEntityCrit,SpearBlightFiendCrit,SpearFrostWolfCrit,SpearEarthWolfCrit,SpearLostCrit,SpearWitheredCrit,SpearDynastyCrit,SpearDunePhantomCrit,SpearDefaultCrit,SpearAENagaCrit,SpearAENagaCrit,SpearSunCrit,HolyShield_Proj,SpearRockNPCCrit,
Warhammer,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,
Warhammer_Heavy,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,
Warhammer_Mightygavel,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,
Warhammer_Shockwave,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,
Warhammer_Wreckingball,WarHammerDefault,WarHammerDefault,WarHammerFlesh,WarHammerFleshHead,WarHammerArmor,WarHammerArmorHead,WarHammerDamned,WarHammerDryad,WarHammerGhost,WarHammerTurkey,WarHammerSkeleton,WarHammerAncientGuardian,WarHammerGhostCharred,WarHammerGhostFrozen,WarHammerGhostShipwrecked,WarHammerGhostHanged,WarHammerGhostPlagued,WarHammerBearElemental,SwordBear,WarHammerRegurgitator,WarHammerSprigganForest,WarHammerCorruptedEntity,WarHammerBlightFiend,WarHammerFrostWolf,WarHammerEarthWolf,WarHammerLost,WarHammerWithered,WarHammerDynasty,WarHammerDunePhantom,WarHammerDunePhantom,WarHammerAENaga,WarHammerAENaga,WarHammerSun,HolyShield_Proj,WarHammerRockNPC,
Warhammer+Resist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,HolyShield_Proj,WarHammerResist,
Warhammer_Wreckingball+Resist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,HolyShield_Proj,WarHammerResist,
Warhammer_Heavy+Resist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,WarHammerResist,HolyShield_Proj,WarHammerResist,
Warhammer+Crit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDamnedCrit,WarHammerDryadCrit,WarHammerGhostCrit,WarHammerTurkeyCrit,WarHammerSkeletonCrit,WarHammerAncientGuardianCrit,WarHammerGhostCharredCrit,WarHammerGhostFrozenCrit,WarHammerGhostShipwreckedCrit,WarHammerGhostHangedCrit,WarHammerGhostPlaguedCrit,WarHammerBearElementalCrit,WarHammerDefaultCrit,WarHammerRegurgitatorCrit,WarHammerSprigganForestCrit,WarHammerCorruptedEntityCrit,WarHammerBlightFiendCrit,WarHammerFrostWolfCrit,WarHammerEarthWolfCrit,WarHammerLostCrit,WarHammerWitheredCrit,WarHammerDynastyCrit,WarHammerDunePhantomCrit,WarHammerDefaultCrit,WarHammerAENagaCrit,WarHammerAENagaCrit,WarHammerSunCrit,HolyShield_Proj,WarHammerRockNPCCrit,
Warhammer_Heavy+Crit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDefaultCrit,WarHammerDamnedCrit,WarHammerDryadCrit,WarHammerGhostCrit,WarHammerTurkeyCrit,WarHammerSkeletonCrit,WarHammerAncientGuardianCrit,WarHammerGhostCharredCrit,WarHammerGhostFrozenCrit,WarHammerGhostShipwreckedCrit,WarHammerGhostHangedCrit,WarHammerGhostPlaguedCrit,WarHammerBearElementalCrit,WarHammerDefaultCrit,WarHammerRegurgitatorCrit,WarHammerSprigganForestCrit,WarHammerCorruptedEntityCrit,WarHammerBlightFiendCrit,WarHammerFrostWolfCrit,WarHammerEarthWolfCrit,WarHammerLostCrit,WarHammerWitheredCrit,WarHammerDynastyCrit,WarHammerDunePhantomCrit,WarHammerDefaultCrit,WarHammerAENagaCrit,WarHammerAENagaCrit,WarHammerSunCrit,HolyShield_Proj,WarHammerRockNPCCrit,
StaffSpells_No_Environment,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedArmor,UnarmedDefault,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,SwordSprigganForest,SwordCorruptedEntity,UnarmedBlightFiend,UnarmedFrostWolf,UnarmedEarthWolf,UnarmedLost,UnarmedWithered,UnarmedDynasty,UnarmedDunePhantom,UnarmedDunePhantom,UnarmedAENaga,UnarmedAENaga,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,
StaffSpells_No_Environment+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
GhostSpell_Ice,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,GhostFrozen,HolyShield_Proj,GhostFrozen,
GhostSpell_Ice+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
GhostSpell_Fire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,GhostFire,HolyShield_Proj,GhostFire,
GhostSpell_Fire+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
GhostSpell_Lightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,GhostLightning,HolyShield_Proj,GhostLightning,
GhostSpell_Lightning+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
GhostSpell_Curse,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedArmor,UnarmedDefault,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,UnarmedSprigganForest,SwordCorruptedEntity,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedDynasty,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedRegurgitator,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,
GhostSpell_Curse+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
GhostSpell_Disease,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,GhostPoison,HolyShield_Proj,GhostPoison,
GhostSpell_Disease+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
GhostSpell_Shackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,GhostShackled,HolyShield_Proj,GhostShackled,
GhostSpell_Shackled+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,GhostMelee,HolyShield_Proj,GhostMelee,
GhostMelee+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
Bite_AI,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedArmor,UnarmedDefault,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,SwordSprigganForest,SwordCorruptedEntity,UnarmedBlightFiend,UnarmedFrostWolf,UnarmedEarthWolf,UnarmedLost,UnarmedWithered,UnarmedDynasty,UnarmedDunePhantom,UnarmedDunePhantom,UnarmedAENaga,UnarmedAENaga,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,
Bite_AI+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
Blunt_AI,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,ClubDefault,HolyShield_Proj,ClubDefault,
Blunt_AI+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
Bear_Claw,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedArmor,UnarmedDefault,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,SwordSprigganForest,SwordCorruptedEntity,UnarmedBlightFiend,UnarmedFrostWolf,UnarmedEarthWolf,UnarmedLost,UnarmedWithered,UnarmedDynasty,UnarmedDunePhantom,UnarmedDunePhantom,UnarmedAENaga,UnarmedAENaga,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,
Bear_Claw+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,
Regurgitator_Vomitball,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,HolyShield_Proj,Regurgitator_VomitballDefault,
Regurgitator_Vomitball+Resist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,HolyShield_Proj,Regurgitator_VomitballResist,
Regurgitator_Vomitspray,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,HolyShield_Proj,Regurgitator_VomitsprayDefault,
